Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Top1mt	197.397203466042	0.0157839377989973	0.208969003563401	0.0755324355758267	0.939791091380454	1
Hoxa4	46.3151875947229	0.409932141978581	0.60432327336545	0.678332541614171	0.49756087021858	1
Gm38393	114.719282651521	0.0898098378958442	0.284300656894033	0.31589739846897	0.752080386617192	1
Mmp14	529.153367834973	-0.0584883305819129	0.195305474803013	-0.299471024255233	0.764580677427874	1
Slc7a7	51.4010006979237	-0.270611548386284	0.392785861434194	-0.688954402274538	0.490851962531098	1
Oxa1l	984.751072369827	-0.0272128150235152	0.159501625360623	-0.170611521744614	0.864529237721458	1
Heatr6	262.724359226684	-0.0894052052298454	0.197976109323231	-0.451595930112333	0.651560102510596	1
Ccl3	18.7821301618486	-0.105764702724737	0.604033025560243	-0.175097549718642	0.861002983570266	1
Wfdc18	16.7960902412702	0.109459388477637	0.58918320108249	0.185781584194068	0.852616046795993	1
Ilf2	1878.73943053637	0.0423256898040258	0.153562402987598	0.275625341754024	0.782835843440042	1
Chtop	3675.88639784831	-0.0714660401949837	0.133609754512772	-0.53488639699695	0.592728415227336	1
Snapin	936.330971514492	0.0442149337537778	0.154271365712884	0.286604928591004	0.774414840220192	1
S100a4	19.150980777841	0.332922627292454	0.612703379408793	0.543366722758566	0.586877332870562	1
S100a3	9.17961622613104	-0.783704405429416	0.818686764244136	-0.957270154664076	0.338430915316192	1
S100a5	217.775799816464	7.71758761019508	0.896649296539878	8.60714176654891	7.49047887336316e-18	1.85306956848131e-13
S100a6	345.628096629924	-0.0673226486037138	0.229993705026436	-0.292715179295779	0.769739866445465	1
Scn4a	0.735214221440303	0.28503887314064	3.08989659488591	0.0922486770633064	0.926500464186086	1
Icam2	20.983551019744	0.0971702104533849	0.608006667829342	0.159817672395427	0.873024702461084	1
Mapk7	357.179772370696	-0.110035615871067	0.191713668478772	-0.573958115476003	0.56599614481192	1
Epn2	2050.20807897114	0.0689708244807539	0.135319045562595	0.509690444489944	0.610268348473724	1
B9d1	230.291457434352	0.0580481155722699	0.213897825172623	0.271382448724866	0.786096899598146	1
Sec24b	897.678460380112	0.043074284719687	0.172856591102815	0.249190872299838	0.803213139624992	1
N4bp3	274.822710175908	0.16669906382213	0.231636891968783	0.719656797348997	0.471736332401986	1
Rmnd5b	550.639564238371	-0.0143012090442525	0.171247508110687	-0.0835119249443836	0.933444495781049	1
Nhp2	648.521089520164	-0.109567419608871	0.216498807484577	-0.506087866634907	0.612794967887035	1
Vps9d1	659.443470075128	-0.0954181690853991	0.164598534703711	-0.579702421149487	0.562115310353205	1
Zfp276	315.496812426725	0.174594531363908	0.19826526634401	0.880610782631832	0.378528520460533	1
C1ql4	21.0853490155408	-0.235522794567861	0.725756914512172	-0.324520221383177	0.745544215478003	1
Mfsd10	435.939552169149	0.0465211303704828	0.178945479813104	0.259973766417967	0.794884009378097	1
Luzp1	1496.81921269739	-0.032767944291212	0.162473873829024	-0.201681313548876	0.84016587203832	1
Kctd10	379.76804131981	-0.451320924968657	0.240473008375348	-1.87680491884645	0.0605448360637946	1
Poldip2	1820.12549395233	0.0262157493996959	0.141520036828376	0.185244082655859	0.853037594417388	1
Sebox	91.6250976833845	0.0476244824165906	0.29318924604586	0.162435979691906	0.870962539359862	1
Ift20	947.857363228059	-0.0652801450052385	0.157231328998109	-0.415185354097106	0.678006219522272	1
Col6a1	669.073844101839	0.249029835397136	0.641180736079144	0.388392572303353	0.697725540104476	1
Pcbp3	1972.71223837622	0.214695941654618	0.176812431532892	1.21425818192359	0.224649149085612	1
Lgals9	101.514849318602	-0.115958842338324	0.297772965642572	-0.389420315870828	0.696965245902839	1
Araf	3451.13706231815	-0.107869746448227	0.146794930750059	-0.734832912124821	0.462441260259804	1
Cfp	203.040130923305	0.184971982854828	0.274142422997723	0.67472951042081	0.499847631956993	1
Timp1	20.5055373722554	-0.418318825887982	0.538822023851016	-0.776358068844726	0.437537595400796	1
Uxt	112.181639643177	-0.233722031923971	0.263120645892679	-0.888269451950575	0.37439582765684	1
Cnnm3	728.876573978402	-0.0424869600716108	0.185725796014883	-0.228761760526826	0.819054089357129	1
Lman2l	621.894596242048	0.104486660515554	0.179068500615238	0.583501063316896	0.559556041445648	1
Mcm3ap	755.892884687461	-0.112548010316229	0.177392090751041	-0.63445901020572	0.525781309193465	1
Pcnt	547.700668577742	-0.0313790810983651	0.164897606865779	-0.190294338982776	0.849078489441026	1
Ftcd	1.09885510908312	1.06035889738037	2.29418510047368	0.462194134711031	0.643942108984571	1
Mxd1	330.384889382852	-0.0275515499827452	0.175406323016779	-0.157072729813222	0.875187529235419	1
Gmcl1	478.950719758594	0.0255701355574127	0.164379739058889	0.15555527526572	0.876383580850884	1
Snrnp27	1120.81647078034	0.0830494128735029	0.158409824427328	0.52426933224462	0.600091224093923	1
